BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
Hm                                                              
h2o_and_h_cs.txt
 
 
 
68.12	3.000
78.06	3.000
 
 
Energy (eV) 	Maximum energy                                                  
0.6677E-01	200.0
0.7373E-01	0.9007
0.7971E-01	2.571
0.8557E-01	3.062
0.9166E-01	3.062
0.9805E-01	3.062
0.1048	3.062
0.1123	3.062
0.1204	3.646
0.1295	3.646
0.1404	3.646
0.1538	3.646
0.1708	4.343
0.1932	4.343
0.2228	4.343
0.2614	5.172
0.3100	5.172
0.3686	5.172
0.4352	6.160
0.5075	6.160
0.5838	6.160
0.6618	7.337
0.7414	7.337
0.8229	7.337
0.9069	8.738
0.9948	8.738
1.290	8.738
1.371	29.24
1.461	29.24
1.560	29.24
1.669	29.24
1.789	29.24
1.918	29.24
2.058	29.24
2.208	29.24
2.368	29.24
2.534	29.24
2.713	29.24
2.903	34.65
3.102	34.65
3.307	34.65
3.517	34.65
3.728	34.65
3.937	34.65
4.140	34.65
4.337	34.65
4.524	34.65
4.702	34.65
4.871	34.65
5.031	34.65
5.184	34.65
5.332	34.65
5.475	34.65
5.615	41.05
5.753	41.05
5.892	41.05
6.031	41.05
6.172	41.05
6.316	41.05
6.463	41.05
6.614	41.05
6.770	48.61
6.932	48.61
7.100	48.61
7.275	57.55
7.458	57.55
7.651	57.55
7.855	68.12
8.070	68.12
8.300	80.62
8.547	80.62
8.812	95.38
9.100	95.38
9.413	112.8
9.756	112.8
10.13	133.5
10.55	133.5
11.02	157.9
11.54	157.9
12.12	186.7
12.78	220.8
13.52	220.8
14.37	261.1
15.33	308.7
16.44	365.0
17.70	431.5
19.14	431.5
20.80	510.2
22.70	603.2
24.88	713.1
27.38	843.0
30.25	1178.
33.55	1393.
37.35	1646.
41.74	1946.
46.84	2301.
52.80	2720.
59.81	3800.
68.12	4492.
78.06	5311.
 
 
Energy (eV)	Mean energy (eV)
0.6677E-01	0.6677E-01
0.7373E-01	0.7373E-01
0.7971E-01	0.7971E-01
0.8557E-01	0.8557E-01
0.9166E-01	0.9166E-01
0.9805E-01	0.9805E-01
0.1048	0.1048
0.1123	0.1123
0.1204	0.1204
0.1295	0.1295
0.1404	0.1404
0.1538	0.1538
0.1708	0.1708
0.1932	0.1932
0.2228	0.2228
0.2614	0.2614
0.3100	0.3100
0.3686	0.3686
0.4352	0.4352
0.5075	0.5075
0.5838	0.5838
0.6618	0.6618
0.7414	0.7414
0.8229	0.8229
0.9069	0.9069
0.9948	0.9948
1.290	1.290
1.371	1.371
1.461	1.461
1.560	1.560
1.669	1.669
1.789	1.789
1.918	1.918
2.058	2.058
2.208	2.208
2.368	2.368
2.534	2.534
2.713	2.713
2.903	2.903
3.102	3.102
3.307	3.307
3.517	3.517
3.728	3.728
3.937	3.937
4.140	4.140
4.337	4.337
4.524	4.524
4.702	4.702
4.871	4.871
5.031	5.031
5.184	5.184
5.332	5.332
5.475	5.475
5.615	5.615
5.753	5.753
5.892	5.892
6.031	6.031
6.172	6.172
6.316	6.316
6.463	6.463
6.614	6.614
6.770	6.770
6.932	6.932
7.100	7.100
7.275	7.275
7.458	7.458
7.651	7.651
7.855	7.855
8.070	8.070
8.300	8.300
8.547	8.547
8.812	8.812
9.100	9.100
9.413	9.413
9.756	9.756
10.13	10.13
10.55	10.55
11.02	11.02
11.54	11.54
12.12	12.12
12.78	12.78
13.52	13.52
14.37	14.37
15.33	15.33
16.44	16.44
17.70	17.70
19.14	19.14
20.80	20.80
22.70	22.70
24.88	24.88
27.38	27.38
30.25	30.25
33.55	33.55
37.35	37.35
41.74	41.74
46.84	46.84
52.80	52.80
59.81	59.81
68.12	68.12
78.06	78.06
 
 
Energy (eV)	Mobility *N (1/m/V/s)
0.6677E-01	0.2268E+26
0.7373E-01	0.2178E+26
0.7971E-01	0.2122E+26
0.8557E-01	0.2075E+26
0.9166E-01	0.2030E+26
0.9805E-01	0.1986E+26
0.1048	0.1943E+26
0.1123	0.1898E+26
0.1204	0.1854E+26
0.1295	0.1806E+26
0.1404	0.1757E+26
0.1538	0.1701E+26
0.1708	0.1640E+26
0.1932	0.1570E+26
0.2228	0.1489E+26
0.2614	0.1397E+26
0.3100	0.1296E+26
0.3686	0.1189E+26
0.4352	0.1083E+26
0.5075	0.9808E+25
0.5838	0.8871E+25
0.6618	0.8033E+25
0.7414	0.7296E+25
0.8229	0.6650E+25
0.9069	0.6085E+25
0.9948	0.5585E+25
1.290	0.4741E+25
1.371	0.4404E+25
1.461	0.4089E+25
1.560	0.3792E+25
1.669	0.3512E+25
1.789	0.3247E+25
1.918	0.2996E+25
2.058	0.2761E+25
2.208	0.2541E+25
2.368	0.2336E+25
2.534	0.2150E+25
2.713	0.1974E+25
2.903	0.1812E+25
3.102	0.1663E+25
3.307	0.1528E+25
3.517	0.1406E+25
3.728	0.1298E+25
3.937	0.1202E+25
4.140	0.1119E+25
4.337	0.1046E+25
4.524	0.9834E+24
4.702	0.9292E+24
4.871	0.8824E+24
5.031	0.8415E+24
5.184	0.8057E+24
5.332	0.7739E+24
5.475	0.7454E+24
5.615	0.7197E+24
5.753	0.6963E+24
5.892	0.6747E+24
6.031	0.6548E+24
